stnId,stnNm,yyyymm,days_in_month,yn_month,avg_yn_month
105,강릉,2024-12,31,27,0.8709677419354839
106,동해,2024-01,31,20,0.6451612903225806
106,동해,2024-02,29,13,0.4482758620689655
106,동해,2024-03,31,19,0.6129032258064516
106,동해,2024-04,30,24,0.8
106,동해,2024-05,31,24,0.7741935483870968
106,동해,2024-06,30,22,0.7333333333333333
106,동해,2024-07,31,15,0.4838709677419355
106,동해,2024-08,31,22,0.7096774193548387
106,동해,2024-09,30,14,0.4666666666666667
106,동해,2024-10,31,19,0.6129032258064516
106,동해,2024-11,30,20,0.6666666666666666
106,동해,2024-12,31,27,0.8709677419354839
108,서울,2024-01,31,10,0.3225806451612903
108,서울,2024-02,29,18,0.6206896551724138
108,서울,2024-03,31,19,0.6129032258064516
108,서울,2024-04,30,26,0.8666666666666667
108,서울,2024-05,31,23,0.7419354838709677
108,서울,2024-06,30,23,0.7666666666666667
108,서울,2024-07,31,9,0.2903225806451613
108,서울,2024-08,31,20,0.6451612903225806
108,서울,2024-09,30,19,0.6333333333333333
108,서울,2024-10,31,25,0.8064516129032258
108,서울,2024-11,30,24,0.8
108,서울,2024-12,31,16,0.5161290322580645
112,인천,2024-01,31,11,0.3548387096774194
112,인천,2024-02,29,17,0.5862068965517241
112,인천,2024-03,31,24,0.7741935483870968
112,인천,2024-04,30,25,0.8333333333333334
112,인천,2024-05,31,25,0.8064516129032258
112,인천,2024-06,30,22,0.7333333333333333
112,인천,2024-07,31,10,0.3225806451612903
112,인천,2024-08,31,21,0.6774193548387096
112,인천,2024-09,30,20,0.6666666666666666
112,인천,2024-10,31,22,0.7096774193548387
112,인천,2024-11,30,22,0.7333333333333333
112,인천,2024-12,31,16,0.5161290322580645
114,원주,2024-01,31,13,0.41935483870967744
114,원주,2024-02,29,20,0.6896551724137931
114,원주,2024-03,31,21,0.6774193548387096
114,원주,2024-04,30,25,0.8333333333333334
114,원주,2024-05,31,21,0.6774193548387096
114,원주,2024-06,30,20,0.6666666666666666
114,원주,2024-07,31,10,0.3225806451612903
114,원주,2024-08,31,20,0.6451612903225806
114,원주,2024-09,30,19,0.6333333333333333
114,원주,2024-10,31,24,0.7741935483870968
114,원주,2024-11,30,23,0.7666666666666667
114,원주,2024-12,31,16,0.5161290322580645
115,울릉도,2024-01,31,12,0.3870967741935484
115,울릉도,2024-02,29,15,0.5172413793103449
115,울릉도,2024-03,31,15,0.4838709677419355
115,울릉도,2024-04,30,22,0.7333333333333333
115,울릉도,2024-05,31,23,0.7419354838709677
115,울릉도,2024-06,30,22,0.7333333333333333
115,울릉도,2024-07,31,19,0.6129032258064516
115,울릉도,2024-08,31,24,0.7741935483870968
115,울릉도,2024-09,30,16,0.5333333333333333
115,울릉도,2024-10,31,15,0.4838709677419355
115,울릉도,2024-11,30,15,0.5
115,울릉도,2024-12,31,15,0.4838709677419355
119,수원,2024-01,31,10,0.3225806451612903
119,수원,2024-02,29,18,0.6206896551724138
119,수원,2024-03,31,21,0.6774193548387096
119,수원,2024-04,30,24,0.8
119,수원,2024-05,31,24,0.7741935483870968
119,수원,2024-06,30,24,0.8
119,수원,2024-07,31,11,0.3548387096774194
119,수원,2024-08,31,20,0.6451612903225806
119,수원,2024-09,30,20,0.6666666666666666
119,수원,2024-10,31,22,0.7096774193548387
119,수원,2024-11,30,21,0.7
119,수원,2024-12,31,14,0.45161290322580644
121,영월,2024-01,31,12,0.3870967741935484
121,영월,2024-02,29,15,0.5172413793103449
121,영월,2024-03,31,18,0.5806451612903226
121,영월,2024-04,30,25,0.8333333333333334
121,영월,2024-05,31,21,0.6774193548387096
121,영월,2024-06,30,22,0.7333333333333333
121,영월,2024-07,31,11,0.3548387096774194
121,영월,2024-08,31,21,0.6774193548387096
121,영월,2024-09,30,22,0.7333333333333333
121,영월,2024-10,31,20,0.6451612903225806
121,영월,2024-11,30,22,0.7333333333333333
121,영월,2024-12,31,11,0.3548387096774194
127,충주,2024-01,31,6,0.1935483870967742
127,충주,2024-02,29,15,0.5172413793103449
127,충주,2024-03,31,19,0.6129032258064516
127,충주,2024-04,30,24,0.8
127,충주,2024-05,31,22,0.7096774193548387
127,충주,2024-06,30,23,0.7666666666666667
127,충주,2024-07,31,14,0.45161290322580644
127,충주,2024-08,31,20,0.6451612903225806
127,충주,2024-09,30,21,0.7
127,충주,2024-10,31,19,0.6129032258064516
127,충주,2024-11,30,19,0.6333333333333333
127,충주,2024-12,31,6,0.1935483870967742
129,서산,2024-01,31,10,0.3225806451612903
129,서산,2024-02,29,11,0.3793103448275862
129,서산,2024-03,31,23,0.7419354838709677
129,서산,2024-04,30,24,0.8
129,서산,2024-05,31,24,0.7741935483870968
129,서산,2024-06,30,24,0.8
129,서산,2024-07,31,14,0.45161290322580644
129,서산,2024-08,31,21,0.6774193548387096
129,서산,2024-09,30,21,0.7
129,서산,2024-10,31,21,0.6774193548387096
129,서산,2024-11,30,20,0.6666666666666666
129,서산,2024-12,31,13,0.41935483870967744
130,울진,2024-01,31,18,0.5806451612903226
130,울진,2024-02,29,15,0.5172413793103449
130,울진,2024-03,31,22,0.7096774193548387
130,울진,2024-04,30,22,0.7333333333333333
130,울진,2024-05,31,24,0.7741935483870968
130,울진,2024-06,30,21,0.7
130,울진,2024-07,31,17,0.5483870967741935
130,울진,2024-08,31,23,0.7419354838709677
130,울진,2024-09,30,16,0.5333333333333333
130,울진,2024-10,31,19,0.6129032258064516
130,울진,2024-11,30,21,0.7
130,울진,2024-12,31,27,0.8709677419354839
131,청주,2024-01,31,13,0.41935483870967744
131,청주,2024-02,29,16,0.5517241379310345
131,청주,2024-03,31,23,0.7419354838709677
131,청주,2024-04,30,24,0.8
131,청주,2024-05,31,21,0.6774193548387096
131,청주,2024-06,30,24,0.8
131,청주,2024-07,31,12,0.3870967741935484
131,청주,2024-08,31,23,0.7419354838709677
131,청주,2024-09,30,22,0.7333333333333333
131,청주,2024-10,31,19,0.6129032258064516
131,청주,2024-11,30,22,0.7333333333333333
131,청주,2024-12,31,17,0.5483870967741935
133,대전,2024-01,31,11,0.3548387096774194
133,대전,2024-02,29,16,0.5517241379310345
133,대전,2024-03,31,20,0.6451612903225806
