,stnId,stnNm,yyyymm,days_in_month,yn_month,avg_yn_month
108,152,울산시,2024-01,31,17,0.5483870967741935
109,152,울산시,2024-02,29,16,0.5517241379310345
110,152,울산시,2024-03,31,18,0.5806451612903226
111,152,울산시,2024-04,30,21,0.7
112,152,울산시,2024-05,31,22,0.7096774193548387
113,152,울산시,2024-06,30,23,0.7666666666666667
114,152,울산시,2024-07,31,22,0.7096774193548387
115,152,울산시,2024-08,31,22,0.7096774193548387
116,152,울산시,2024-09,30,19,0.6333333333333333
117,152,울산시,2024-10,31,17,0.5483870967741935
118,152,울산시,2024-11,30,25,0.8333333333333334
119,152,울산시,2024-12,31,30,0.967741935483871
120,155,창원시,2024-01,31,20,0.6451612903225806
121,155,창원시,2024-02,29,16,0.5517241379310345
122,155,창원시,2024-03,31,21,0.6774193548387096
123,155,창원시,2024-04,30,22,0.7333333333333333
124,155,창원시,2024-05,31,21,0.6774193548387096
125,155,창원시,2024-06,30,23,0.7666666666666667
126,155,창원시,2024-07,31,15,0.4838709677419355
127,155,창원시,2024-08,31,24,0.7741935483870968
128,155,창원시,2024-09,30,24,0.8
129,155,창원시,2024-10,31,18,0.5806451612903226
130,155,창원시,2024-11,30,25,0.8333333333333334
131,155,창원시,2024-12,31,31,1.0
132,156,광주시,2024-01,31,16,0.5161290322580645
133,156,광주시,2024-02,29,15,0.5172413793103449
134,156,광주시,2024-03,31,22,0.7096774193548387
135,156,광주시,2024-04,30,20,0.6666666666666666
136,156,광주시,2024-05,31,21,0.6774193548387096
137,156,광주시,2024-06,30,25,0.8333333333333334
138,156,광주시,2024-07,31,12,0.3870967741935484
139,156,광주시,2024-08,31,19,0.6129032258064516
140,156,광주시,2024-09,30,21,0.7
141,156,광주시,2024-10,31,18,0.5806451612903226
142,156,광주시,2024-11,30,20,0.6666666666666666
143,156,광주시,2024-12,31,21,0.6774193548387096
144,172,고창시,2024-01,31,11,0.3548387096774194
145,172,고창시,2024-02,29,12,0.41379310344827586
146,172,고창시,2024-03,31,23,0.7419354838709677
147,172,고창시,2024-04,30,20,0.6666666666666666
148,172,고창시,2024-05,31,23,0.7419354838709677
149,172,고창시,2024-06,30,23,0.7666666666666667
150,172,고창시,2024-07,31,13,0.41935483870967744
151,172,고창시,2024-08,31,24,0.7741935483870968
152,172,고창시,2024-09,30,24,0.8
153,172,고창시,2024-10,31,19,0.6129032258064516
154,172,고창시,2024-11,30,20,0.6666666666666666
155,172,고창시,2024-12,31,14,0.45161290322580644
156,184,제주시,2024-01,31,17,0.5483870967741935
157,184,제주시,2024-02,29,12,0.41379310344827586
158,184,제주시,2024-03,31,21,0.6774193548387096
159,184,제주시,2024-04,30,16,0.5333333333333333
160,184,제주시,2024-05,31,23,0.7419354838709677
161,184,제주시,2024-06,30,19,0.6333333333333333
162,184,제주시,2024-07,31,21,0.6774193548387096
163,184,제주시,2024-08,31,25,0.8064516129032258
164,184,제주시,2024-09,30,16,0.5333333333333333
165,184,제주시,2024-10,31,15,0.4838709677419355
166,184,제주시,2024-11,30,18,0.6
167,184,제주시,2024-12,31,22,0.7096774193548387
168,202,양평시,2024-01,31,7,0.22580645161290322
169,202,양평시,2024-02,29,16,0.5517241379310345
170,202,양평시,2024-03,31,19,0.6129032258064516
171,202,양평시,2024-04,30,24,0.8
172,202,양평시,2024-05,31,24,0.7741935483870968
173,202,양평시,2024-06,30,21,0.7
174,202,양평시,2024-07,31,10,0.3225806451612903
175,202,양평시,2024-08,31,21,0.6774193548387096
176,202,양평시,2024-09,30,20,0.6666666666666666
177,202,양평시,2024-10,31,23,0.7419354838709677
178,202,양평시,2024-11,30,23,0.7666666666666667
179,202,양평시,2024-12,31,10,0.3225806451612903
180,232,천안시,2024-01,31,9,0.2903225806451613
181,232,천안시,2024-02,29,15,0.5172413793103449
182,232,천안시,2024-03,31,18,0.5806451612903226
183,232,천안시,2024-04,30,24,0.8
184,232,천안시,2024-05,31,23,0.7419354838709677
185,232,천안시,2024-06,30,24,0.8
186,232,천안시,2024-07,31,11,0.3548387096774194
187,232,천안시,2024-08,31,23,0.7419354838709677
188,232,천안시,2024-09,30,20,0.6666666666666666
189,232,천안시,2024-10,31,20,0.6451612903225806
190,232,천안시,2024-11,30,21,0.7
191,232,천안시,2024-12,31,11,0.3548387096774194
192,238,금산시,2024-01,31,7,0.22580645161290322
193,238,금산시,2024-02,29,11,0.3793103448275862
194,238,금산시,2024-03,31,18,0.5806451612903226
195,238,금산시,2024-04,30,21,0.7
196,238,금산시,2024-05,31,22,0.7096774193548387
197,238,금산시,2024-06,30,25,0.8333333333333334
198,238,금산시,2024-07,31,14,0.45161290322580644
199,238,금산시,2024-08,31,23,0.7419354838709677
200,238,금산시,2024-09,30,22,0.7333333333333333
201,238,금산시,2024-10,31,19,0.6129032258064516
202,238,금산시,2024-11,30,20,0.6666666666666666
203,238,금산시,2024-12,31,13,0.41935483870967744
204,239,세종시,2024-01,31,9,0.2903225806451613
205,239,세종시,2024-02,29,13,0.4482758620689655
206,239,세종시,2024-03,31,22,0.7096774193548387
207,239,세종시,2024-04,30,23,0.7666666666666667
208,239,세종시,2024-05,31,22,0.7096774193548387
209,239,세종시,2024-06,30,24,0.8
210,239,세종시,2024-07,31,12,0.3870967741935484
211,239,세종시,2024-08,31,21,0.6774193548387096
212,239,세종시,2024-09,30,22,0.7333333333333333
213,239,세종시,2024-10,31,18,0.5806451612903226
214,239,세종시,2024-11,30,20,0.6666666666666666
215,239,세종시,2024-12,31,17,0.5483870967741935
216,247,남원시,2024-01,31,10,0.3225806451612903
217,247,남원시,2024-02,29,14,0.4827586206896552
218,247,남원시,2024-03,31,21,0.6774193548387096
219,247,남원시,2024-04,30,22,0.7333333333333333
220,247,남원시,2024-05,31,20,0.6451612903225806
221,247,남원시,2024-06,30,24,0.8
222,247,남원시,2024-07,31,13,0.41935483870967744
223,247,남원시,2024-08,31,22,0.7096774193548387
224,247,남원시,2024-09,30,24,0.8
225,247,남원시,2024-10,31,19,0.6129032258064516
226,247,남원시,2024-11,30,20,0.6666666666666666
227,247,남원시,2024-12,31,19,0.6129032258064516
228,253,김해시,2024-01,31,18,0.5806451612903226
229,253,김해시,2024-02,29,17,0.5862068965517241
230,253,김해시,2024-03,31,22,0.7096774193548387
231,253,김해시,2024-04,30,22,0.7333333333333333
232,253,김해시,2024-05,31,20,0.6451612903225806
233,253,김해시,2024-06,30,22,0.7333333333333333
234,253,김해시,2024-07,31,11,0.3548387096774194
235,253,김해시,2024-08,31,23,0.7419354838709677
236,253,김해시,2024-09,30,25,0.8333333333333334
237,253,김해시,2024-10,31,20,0.6451612903225806
238,253,김해시,2024-11,30,26,0.8666666666666667
239,253,김해시,2024-12,31,31,1.0
240,266,광양시,2024-01,31,18,0.5806451612903226
241,266,광양시,2024-02,29,13,0.4482758620689655
242,266,광양시,2024-03,31,22,0.7096774193548387
243,266,광양시,2024-04,30,22,0.7333333333333333
244,266,광양시,2024-05,31,20,0.6451612903225806
245,266,광양시,2024-06,30,24,0.8
246,266,광양시,2024-07,31,13,0.41935483870967744
247,266,광양시,2024-08,31,21,0.6774193548387096
248,266,광양시,2024-09,30,25,0.8333333333333334
249,266,광양시,2024-10,31,20,0.6451612903225806
250,266,광양시,2024-11,30,23,0.7666666666666667
251,266,광양시,2024-12,31,31,1.0
252,288,밀양시,2024-01,31,19,0.6129032258064516
253,288,밀양시,2024-02,29,17,0.5862068965517241
254,288,밀양시,2024-03,31,20,0.6451612903225806
255,288,밀양시,2024-04,30,22,0.7333333333333333
256,288,밀양시,2024-05,31,21,0.6774193548387096
257,288,밀양시,2024-06,30,24,0.8
258,288,밀양시,2024-07,31,16,0.5161290322580645
259,288,밀양시,2024-08,31,21,0.6774193548387096
260,288,밀양시,2024-09,30,25,0.8333333333333334
261,288,밀양시,2024-10,31,20,0.6451612903225806
262,288,밀양시,2024-11,30,26,0.8666666666666667
263,288,밀양시,2024-12,31,30,0.967741935483871
